;;Logradouro;;;;;;;
Localidade;Logradouro;CEP;Bairro;Tipo Codificação;Numero Inicial;Número Final;Trecho;Lado;Legendas
Guarabira;Rua Coronel João Pimentel;58200-138;Centro;Simples;;;;;
Guarabira;Rua Coronel João Pimentel;58200-238;Juá;Simples;;;;;
Guarabira;Rua Coronel José Mauricio da Costa;58203-203;São José;Simples;;;;;
Guarabira;Rua Cosme Amaro de Souza;58200-476;Novo;Simples;;;;;
Guarabira;Rua Cosme Marcelino da Silva;58201-716;Mutirão;Simples;;;;;
Guarabira;Rua Cosme Marcolino da Silva;58200-325;Cordeiro;Simples;;;;;
Guarabira;Rua Costa Beiriz;58200-096;Centro;Simples;;;;;
Guarabira;Rua Creuza Clementino da Silva;58201-333;João Cassimiro;Simples;;;;;
Guarabira;Rua da Saudade;58200-206;Santa Terezinha;Simples;;;;;
Guarabira;Rua Dario de Souza Santana;58203-074;Lucas Porpino;Simples;;;;;
Guarabira;Rua Davi da Silva Felix;58200-651;Sol Nascente;Simples;;;;;
Guarabira;Rua Delfino Cosme;58203-523;Nordeste I;Simples;;;;;
Guarabira;Rua Deodoro da Fonseca;58200-062;Centro;Simples;;;;;
Guarabira;Rua Desembargador Pedro Bandeira;58201-366;Rosário;Seccionamento;568;9998;F;P;
Guarabira;Rua Desembargador Pedro Bandeira;58203-227;São José;Seccionamento;1;566;I;A;
Guarabira;Rua Desembargador Pedro Bandeira;58203-228;São José;Seccionamento;567;9999;F;I;
Guarabira;Rua Desportista João Salustiano Bezerra;58200-162;Santa Terezinha;Simples;;;;;
Guarabira;Rua Diógenes de Aquino Bastos;58203-580;Nordeste I;Simples;;;;;
Guarabira;Rua Dom Marcelo Pinto Carvalheira;58200-458;Novo;Simples;;;;;
Guarabira;Rua Domingos Goncalves de Figueiredo;58200-588;Sol Nascente;Simples;;;;;
Guarabira;Rua Dorinha Sampaio;58203-284;São José;Seccionamento;80;9999;F;A;
Guarabira;Rua Dorinha Sampaio;58203-312;Esplanada da Estação;Seccionamento;1;79;I;A;
Guarabira;Rua Doutor João de Sá e Benevides;58200-380;Novo;Simples;;;;;
Guarabira;Rua Doutor José Tavares;58201-004;Dona Adália;Simples;;;;;
Guarabira;Rua Doutor Lindonor Pires de Almeida;58201-416;Areia Branca;Simples;;;;;
Guarabira;Rua Doutor Melo;58200-330;Cordeiro;Simples;;;;;
Guarabira;Rua Doutor Nunes Filho;58200-286;Bela Vista;Simples;;;;;
Guarabira;Rua Doutor Paulo Cleto;58201-012;Dona Adália;Simples;;;;;
Guarabira;Rua Doutor Sales;58200-048;Centro;Simples;;;;;
Guarabira;Rua Doutor Tire;58200-332;Cordeiro;Simples;;;;;
